DyadID DyadIndID IndividualID IndPerformance IndRelQuality IndMotivation IndCohesion PartnerPerformance PartnerRelQuality PartnerMotivation PartnerCohesion DyadPerformance DyadRelQuality DyadMotivation DyadCohesion
1020 B 2009 3.2 4.4 20.1 4.5 4.2 4.1 21.5 3.1 3.7 4.25 20.8 3.8
1021 A 2182 3.6 2.9 13.2 5.2 4.1 4.1 21.6 4.9 3.85 3.5 17.4 5.05
1021 B 2186 4.1 4.1 21.6 4.9 3.6 2.9 13.2 5.2 3.85 3.5 17.4 5.05
1022 A 2298 4.2 4.9 19.7 3.2 3.8 3.6 19.1 4.4 4 4.25 19.4 3.8
1022 B 2212 3.8 3.6 19.1 4.4 4.2 4.9 19.7 3.2 4 4.25 19.4 3.8
1023 A 2378 3.2 3.6 8.3 3.4 5.3 2.8 23.9 5 4.25 3.2 16.1 4.2
1023 B 2309 5.3 2.8 23.9 5 3.2 3.6 8.3 3.4 4.25 3.2 16.1 4.2
1026 A 2672 3.1 4.4 20.8 3.9 5 4.1 21 5.4 4.05 4.25 20.9 4.65
1026 B 2618 5 4.1 21 5.4 3.1 4.4 20.8 3.9 4.05 4.25 20.9 4.65
1027 A 2711 1.9 3.2 14.6 3.6 2.9 4.6 11.9 3.9 2.4 3.9 13.25 3.75
1027 B 2700 2.9 4.6 11.9 3.9 1.9 3.2 14.6 3.6 2.4 3.9 13.25 3.75
1030 A 3092 3.9 3.9 16.7 4.5 3.8 4.4 10.6 4.8 3.85 4.15 13.65 4.65
1030 B 3059 3.8 4.4 10.6 4.8 3.9 3.9 16.7 4.5 3.85 4.15 13.65 4.65
1031 A 3198 4.4 4.1 22.6 4.8 5.4 4.2 20.1 4.7 4.9 4.15 21.35 4.75
1031 B 3190 5.4 4.2 20.1 4.7 4.4 4.1 22.6 4.8 4.9 4.15 21.35 4.75
1032 A 3222 4.9 5 17.9 4.2 5.1 4.9 18.4 3.4 5 4.95 18.15 3.8
1032 B 3291 5.1 4.9 18.4 3.4 4.9 5 17.9 4.2 5 4.95 18.15 3.8
1034 A 3424 4.5 4.1 16.4 3.1 3.4 1.5 12.2 2.9 3.95 2.8 14.3 3
1034 B 3428 3.4 1.5 12.2 2.9 4.5 4.1 16.4 3.1 3.95 2.8 14.3 3
1037 A 3780 3.9 2.6 21.6 4.5 3.5 5.2 21.2 4.9 3.7 3.9 21.4 4.7
1037 B 3748 3.5 5.2 21.2 4.9 3.9 2.6 21.6 4.5 3.7 3.9 21.4 4.7
1038 A 3861 3.3 4.3 15 4.9 4.6 3.3 10.5 4.5 3.95 3.8 12.75 4.7
1038 B 3821 4.6 3.3 10.5 4.5 3.3 4.3 15 4.9 3.95 3.8 12.75 4.7
1039 A 3902 3.2 4.5 12.8 4.2 4.5 2.5 8.2 3.1 3.85 3.5 10.5 3.65
1039 B 3965 4.5 2.5 8.2 3.1 3.2 4.5 12.8 4.2 3.85 3.5 10.5 3.65
1040 A 4073 1.4 3.3 19 4 0.8 4.6 8.9 2.3 1.1 3.95 13.95 3.15
1040 B 4064 0.8 4.6 8.9 2.3 1.4 3.3 19 4 1.1 3.95 13.95 3.15
1041 A 4125 2.5 2.8 12.8 3.4 2.2 4 13 4.2 2.35 3.4 12.9 3.8
1041 B 4192 2.2 4 13 4.2 2.5 2.8 12.8 3.4 2.35 3.4 12.9 3.8
1042 A 4202 2.6 4.4 17.6 3.3 3.6 2.4 18.3 4.7 3.1 3.4 17.95 4
1042 B 4241 3.6 2.4 18.3 4.7 2.6 4.4 17.6 3.3 3.1 3.4 17.95 4
1045 A 4589 1.6 2.2 14.1 4.8 3.7 2.5 4.3 3.9 2.65 2.35 9.2 4.35
1045 B 4505 3.7 2.5 4.3 3.9 1.6 2.2 14.1 4.8 2.65 2.35 9.2 4.35
1046 A 4697 3.2 3.7 22.3 3.8 4.7 4.8 19.9 4 3.95 4.25 21.1 3.9
1046 B 4634 4.7 4.8 19.9 4 3.2 3.7 22.3 3.8 3.95 4.25 21.1 3.9
1047 A 4722 3.9 3.8 22.4 5.1 4.9 3.7 20.1 5 4.4 3.75 21.25 5.05
1047 B 4735 4.9 3.7 20.1 5 3.9 3.8 22.4 5.1 4.4 3.75 21.25 5.05
1050 A 5080 2.8 4.2 14.3 3.6 4.7 4.2 16.8 3.4 3.75 4.2 15.55 3.5
1050 B 5079 4.7 4.2 16.8 3.4 2.8 4.2 14.3 3.6 3.75 4.2 15.55 3.5
1051 A 5117 4.2 2.4 22.7 4.4 4.4 5.2 25.8 4.8 4.3 3.8 24.25 4.6
1051 B 5115 4.4 5.2 25.8 4.8 4.2 2.4 22.7 4.4 4.3 3.8 24.25 4.6
1052 A 5235 5.8 4.6 15.1 4.2 4.6 4.5 15.4 3.7 5.2 4.55 15.25 3.95
1052 B 5202 4.6 4.5 15.4 3.7 5.8 4.6 15.1 4.2 5.2 4.55 15.25 3.95
1053 A 5359 2.9 3.3 19.5 3.2 3.5 3 18.1 3.8 3.2 3.15 18.8 3.5
1053 B 5376 3.5 3 18.1 3.8 2.9 3.3 19.5 3.2 3.2 3.15 18.8 3.5
1054 A 5431 4.7 4.5 18.7 5.4 4.6 5.3 18 4.4 4.65 4.9 18.35 4.9
1054 B 5448 4.6 5.3 18 4.4 4.7 4.5 18.7 5.4 4.65 4.9 18.35 4.9
1057 A 5715 3.5 4.1 13.9 4 4.4 4.4 12.2 4.9 3.95 4.25 13.05 4.45
1057 B 5755 4.4 4.4 12.2 4.9 3.5 4.1 13.9 4 3.95 4.25 13.05 4.45
1058 A 5802 3.3 2.5 15.2 3 3.9 2.3 11.8 2 3.6 2.4 13.5 2.5
1058 B 5836 3.9 2.3 11.8 2 3.3 2.5 15.2 3 3.6 2.4 13.5 2.5
1059 A 5968 2.1 2.4 14.5 4 3.1 4.4 12.3 4.1 2.6 3.4 13.4 4.05
1059 B 5917 3.1 4.4 12.3 4.1 2.1 2.4 14.5 4 2.6 3.4 13.4 4.05
1061 A 6186 1.5 2.7 14.5 3.4 3.6 2.4 4.9 2.2 2.55 2.55 9.7 2.8
1061 B 6132 3.6 2.4 4.9 2.2 1.5 2.7 14.5 3.4 2.55 2.55 9.7 2.8
1062 A 6242 4.2 4.8 17.8 4 4.4 3.5 10.7 3.8 4.3 4.15 14.25 3.9
1062 B 6299 4.4 3.5 10.7 3.8 4.2 4.8 17.8 4 4.3 4.15 14.25 3.9
1064 A 6441 2 4.1 18.7 3.3 -0.4 2.8 9.1 2.8 0.8 3.45 13.9 3.05
1064 B 6455 -0.4 2.8 9.1 2.8 2 4.1 18.7 3.3 0.8 3.45 13.9 3.05
1065 A 6586 5.2 4 16.9 5.1 5.1 5.1 14.3 4.4 5.15 4.55 15.6 4.75
1065 B 6574 5.1 5.1 14.3 4.4 5.2 4 16.9 5.1 5.15 4.55 15.6 4.75
1066 A 6694 2.2 3.9 19.3 4.4 2 3.3 9.2 1.6 2.1 3.6 14.25 3
1066 B 6600 2 3.3 9.2 1.6 2.2 3.9 19.3 4.4 2.1 3.6 14.25 3
1067 A 6783 3.9 4 16.5 4.6 3.5 3.7 11.9 4.3 3.7 3.85 14.2 4.45
1067 B 6736 3.5 3.7 11.9 4.3 3.9 4 16.5 4.6 3.7 3.85 14.2 4.45
1070 A 7032 3.9 4.6 17 3.7 4.4 3.7 11 4.6 4.15 4.15 14 4.15
1070 B 7084 4.4 3.7 11 4.6 3.9 4.6 17 3.7 4.15 4.15 14 4.15
1072 A 7267 5.2 4.7 22.9 5.2 2.5 2.8 9.8 3.2 3.85 3.75 16.35 4.2
1072 B 7233 2.5 2.8 9.8 3.2 5.2 4.7 22.9 5.2 3.85 3.75 16.35 4.2
1073 A 7388 4.7 4.3 17.2 4.3 3.8 4.4 18.4 4.1 4.25 4.35 17.8 4.2
1073 B 7355 3.8 4.4 18.4 4.1 4.7 4.3 17.2 4.3 4.25 4.35 17.8 4.2
1074 A 7459 5.2 4.6 22.9 4.5 3.8 3.6 11.4 3.2 4.5 4.1 17.15 3.85
1074 B 7464 3.8 3.6 11.4 3.2 5.2 4.6 22.9 4.5 4.5 4.1 17.15 3.85
1075 A 7556 4.8 4.6 19.1 3.4 3.9 3.3 19.7 4.3 4.35 3.95 19.4 3.85
1075 B 7542 3.9 3.3 19.7 4.3 4.8 4.6 19.1 3.4 4.35 3.95 19.4 3.85
1078 A 7864 2.8 2.8 7.8 3.2 4.8 3.1 22.6 5.4 3.8 2.95 15.2 4.3
1078 B 7811 4.8 3.1 22.6 5.4 2.8 2.8 7.8 3.2 3.8 2.95 15.2 4.3
1079 A 7963 4.7 3.9 14 3.9 4.9 5.5 21.3 4 4.8 4.7 17.65 3.95
1079 B 7954 4.9 5.5 21.3 4 4.7 3.9 14 3.9 4.8 4.7 17.65 3.95
1081 A 8189 4.3 3.2 15.8 3.2 3.4 2.1 12.8 3 3.85 2.65 14.3 3.1
1081 B 8110 3.4 2.1 12.8 3 4.3 3.2 15.8 3.2 3.85 2.65 14.3 3.1
1083 A 8360 1.3 3.1 19 3.8 1.2 4 8.9 2.3 1.25 3.55 13.95 3.05
1083 B 8387 1.2 4 8.9 2.3 1.3 3.1 19 3.8 1.25 3.55 13.95 3.05
1084 A 8443 3.8 5.1 16.6 2.5 5.3 5 19 4.4 4.55 5.05 17.8 3.45
1084 B 8424 5.3 5 19 4.4 3.8 5.1 16.6 2.5 4.55 5.05 17.8 3.45
1085 A 8541 3 4.6 16.9 3.4 4.8 3.6 19.6 4.5 3.9 4.1 18.25 3.95
1085 B 8513 4.8 3.6 19.6 4.5 3 4.6 16.9 3.4 3.9 4.1 18.25 3.95
1086 A 8643 4.3 6.1 7.4 3.2 4.9 5.3 19.7 5.2 4.6 5.7 13.55 4.2
1086 B 8647 4.9 5.3 19.7 5.2 4.3 6.1 7.4 3.2 4.6 5.7 13.55 4.2
1087 A 8726 4.1 3 17.8 4.1 3.4 3.8 20.5 5.3 3.75 3.4 19.15 4.7
1087 B 8744 3.4 3.8 20.5 5.3 4.1 3 17.8 4.1 3.75 3.4 19.15 4.7
1089 A 8991 4.4 6 19.5 4.1 3.6 3.8 18 6.1 4 4.9 18.75 5.1
1089 B 8919 3.6 3.8 18 6.1 4.4 6 19.5 4.1 4 4.9 18.75 5.1
1090 A 9051 3.6 5.1 18.9 3.4 4.2 3.3 17.5 4.9 3.9 4.2 18.2 4.15
1090 B 9079 4.2 3.3 17.5 4.9 3.6 5.1 18.9 3.4 3.9 4.2 18.2 4.15
1091 A 9190 4.7 5.3 21.1 4.4 4.9 4 21.2 4.5 4.8 4.65 21.15 4.45
1091 B 9174 4.9 4 21.2 4.5 4.7 5.3 21.1 4.4 4.8 4.65 21.15 4.45
1092 A 9204 4.3 4.8 16.3 4.5 4 5.2 11.7 3.8 4.15 5 14 4.15
1092 B 9274 4 5.2 11.7 3.8 4.3 4.8 16.3 4.5 4.15 5 14 4.15
1093 A 9303 1.7 1.6 13.6 4 3.9 3 3.9 3.2 2.8 2.3 8.75 3.6
1093 B 9397 3.9 3 3.9 3.2 1.7 1.6 13.6 4 2.8 2.3 8.75 3.6
1094 A 9405 4.9 2.9 17.9 3.6 2.7 3.7 19.4 4.1 3.8 3.3 18.65 3.85
1094 B 9426 2.7 3.7 19.4 4.1 4.9 2.9 17.9 3.6 3.8 3.3 18.65 3.85
1097 A 9770 3.9 2 23.2 3.4 5.2 5.7 25 3.6 4.55 3.85 24.1 3.5
1097 B 9787 5.2 5.7 25 3.6 3.9 2 23.2 3.4 4.55 3.85 24.1 3.5
